username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Adam Schiff,29501253,2020-05-27 20:03:29,"We just crossed a terrible threshold:
 
100,000 Americans have died from COVID-19. 100,000 families are grieving. 1... https://t.co/PCxRrYp6t5",8327,None,2263359,778,-1.0,1.0
Joe Biden,939091,2020-05-27 19:28:00,"Over the last few months, countless Asian Americans have been threatened, attacked, and blamed for COVID-19. They'v... https://t.co/08OMLhh76H",4198,None,5657063,26,-0.05,0.16666666666666669
Charlie Kirk,292929271,2020-05-27 19:36:34,Why hasn't Twitter fact checked the WHO's tweet claiming that there is no Human-to-Human transmission of COVID-19?... https://t.co/UhXs9GH13j,4996,None,1760708,230956,0.0,0.0
Darren Grimes,4691437897,2020-05-27 18:52:34,"I am crying at this takedown of the British media throughout COVID-19!

By the incredibly talented @spoofed_uk. https://t.co/cjpIxq7Icb",3188,None,102908,357,0.16666666666666666,0.5
Nabela Noor,29358147,2020-05-27 16:20:11,Over the past 75 days I've done everything by the book. The 5 times I left the house I took every precaution (masks... https://t.co/xbEPtBbn4z,5379,None,33291,373,-0.125,0.125
Laura Ingraham,50769180,2020-05-27 17:47:13,"Dr. Fauci? Hellooooo? How about talking to real clinicians who are actually treating COVID patients? ""Early diagnos... https://t.co/QoFXAJABoX",3232,None,3449149,343,0.10000000000000002,0.2333333333333333
CMO Maharashtra,2597666894,2020-05-27 17:30:24,"For people of Maharashtra, age is no bar when it comes to putting up a fight. 36 days old baby recovered from COVID... https://t.co/XMqa6kdtu0",5125,None,1848842,61,0.1,0.2
Donald J. Trump,25073877,2020-05-27 13:19:37,"The Radical Left Lamestream Media, together with their partner, the Do Nothing Democrats, are trying to spread a ne... https://t.co/qzpIwrJGvt",29000,None,80513166,46,0.0,0.0
Alyssa Milano,26642006,2020-05-27 16:31:21,"Our President has not tweeted condolences for those we've lost to covid-19. 100,000 dead in 2 months and nothing.... https://t.co/WAcJqXNswS",3611,None,3700672,4890,-0.2,0.4
Rachel Maddow MSNBC,16129920,2020-05-27 18:22:06,"Heads up re Alabama...

""Alabama saw its largest single-day increase in new cases Monday, a little more than three... https://t.co/1g11ELxdMH",4808,None,10090456,3768,0.14962121212121213,0.48484848484848486
Nancy Pelosi,15764644,2020-05-27 18:31:48,"Tragically, 100,000 people across America have lost their lives to COVID-19. Meanwhile, there is still no strong, n... https://t.co/sHxSUszYZq",2227,None,4675100,362,-0.21666666666666665,0.7333333333333333
Faye DSouza,33915298,2020-05-27 18:35:46,"Migrants die during train ride

'Every Country has had Covid-19 but none of them have faced the kind of humanitaria... https://t.co/H2PXQAkFeX",2055,None,944761,841,0.6,0.9
Debbie Allen,31483387,2020-05-27 14:43:36,"We are all suffering tremendous losses due to COVID-19, but these losses we do not understand or accept.  RIP... https://t.co/PjgxsjvAGj",8099,None,425647,1679,0.10416666666666666,0.6875
Nick Penzenstadler,19410511,2020-05-27 17:35:28,"103-year-old Massachusetts woman beats coronavirus, celebrates with Bud Light https://t.co/gKcH5M1PUh via @usatoday",2572,None,8819,6372,0.4,0.7
David Gura 🏡,14888467,2020-05-27 17:33:30,"INBOX: ""More than 700 people are hospitalized in North Carolina with COVID-19, the highest total to date during the... https://t.co/JUQY05T6rQ",1778,None,82022,4072,0.25,0.625
Kyle Griffin,32871086,2020-05-27 11:00:00,"When Trump took office, his team stopped work on new federal regulations that would have forced the health care ind... https://t.co/0lalCyOhua",2775,None,749810,854,-0.08181818181818185,0.32727272727272727
Francis Baraan IV,486191342,2020-05-27 09:49:34,"NEW ZEALAND HAS EFFECTIVELY ELIMINATED COVID-19.

HOW:
1. Mass testing
2. Contact tracing
3. Strict travel ban poli... https://t.co/n7PMknOXPr",7650,None,80438,30644,0.36818181818181817,0.6272727272727273
Joe Biden,939091,2020-05-27 12:44:08,"This morning, I'll be joined by @TomWolfPA for a conversation on how COVID-19 is making an impact on states. 

Tune... https://t.co/2ujQuxdtqt",1024,None,5657071,26,0.0,0.0
Avik Roy,49457533,2020-05-27 12:12:42,The most important #COVID19 statistic for thinking about our public policy response is that 43% of all U.S. deaths... https://t.co/cDDyADE0RZ,697,COVID19,41759,5675,0.3,0.5222222222222223
Dr. Dena Grayson,1651522832,2020-05-27 12:58:39,"Awesome. After only a few weeks of training, dogs trained in detecting disease-specific scents were able to ident... https://t.co/jbvYFFieBV",589,None,303576,348,0.325,0.68125
Judd Legum,15464697,2020-05-27 13:02:03,"1. Tens of thousands of nursing home residents are dying of COVID-19

In response, the nursing home industry has la... https://t.co/8NRHW9zwCn",568,None,424137,1330,0.0,0.0
Sadhguru,67611162,2020-05-27 08:30:44,Handling locust menace needs a coordinated effort from all the affected states &amp; also with neighbouring nations. Th... https://t.co/ehgN8Q04pX,5121,None,2977971,2,0.0,0.0
Barack Obama,813286,2020-05-25 14:31:05,"On Memorial Day, we honor those who gave all for us. That takes different forms this year, but it's even more vital... https://t.co/wUBXJWWoKs",27410,None,118113053,605778,0.19999999999999998,0.5
Donald J. Trump,25073877,2020-05-25 20:16:06,"Great reviews on our handling of Covid 19, sometimes referred to as the China Virus. Ventilators, Testing, Medical... https://t.co/qEOscd77SW",30794,None,80513165,46,0.4,0.375
Joe Biden,939091,2020-05-23 18:40:00,"The hard truth is Donald Trump ignored the warnings of health experts and intelligence agencies, downplayed the thr... https://t.co/m89z3JiqIe",20653,None,5657071,26,-0.2916666666666667,0.5416666666666666
